,fecha,valor,temperatura
261,2020-03-11 21:00:00,False,292.90849609375
262,2020-03-11 22:00:00,True,
263,2020-03-11 23:00:00,True,
264,2020-03-12 00:00:00,True,
265,2020-03-12 01:00:00,True,
266,2020-03-12 02:00:00,True,
267,2020-03-12 03:00:00,True,
268,2020-03-12 04:00:00,True,
269,2020-03-12 05:00:00,True,
270,2020-03-12 06:00:00,True,
271,2020-03-12 07:00:00,True,
272,2020-03-12 08:00:00,True,
273,2020-03-12 09:00:00,True,
274,2020-03-12 10:00:00,False,285.6656188964844
275,2020-03-12 11:00:00,False,284.7853088378906
276,2020-03-12 12:00:00,False,283.1802978515625
277,2020-03-12 13:00:00,False,288.883984375
278,2020-03-12 14:00:00,True,
279,2020-03-12 15:00:00,False,294.8895670572917
280,2020-03-12 16:00:00,False,300.619140625
281,2020-03-12 17:00:00,False,305.79290771484375
282,2020-03-12 18:00:00,True,
283,2020-03-12 19:00:00,True,
284,2020-03-12 20:00:00,False,300.8919921875
285,2020-03-12 21:00:00,True,
286,2020-03-12 22:00:00,True,
287,2020-03-12 23:00:00,True,
288,2020-03-13 00:00:00,True,
289,2020-03-13 01:00:00,True,
290,2020-03-13 02:00:00,True,
291,2020-03-13 03:00:00,True,
292,2020-03-13 04:00:00,True,
293,2020-03-13 05:00:00,True,
294,2020-03-13 06:00:00,True,
295,2020-03-13 07:00:00,True,
296,2020-03-13 08:00:00,True,
297,2020-03-13 09:00:00,True,
298,2020-03-13 10:00:00,True,
299,2020-03-13 11:00:00,False,283.8699951171875
300,2020-03-13 12:00:00,False,279.21918402777777
301,2020-03-13 13:00:00,True,
302,2020-03-13 14:00:00,True,
303,2020-03-13 15:00:00,False,293.85428292410717
304,2020-03-13 16:00:00,True,
305,2020-03-13 17:00:00,True,
306,2020-03-13 18:00:00,False,304.627490234375
307,2020-03-13 19:00:00,True,
308,2020-03-13 20:00:00,True,
309,2020-03-13 21:00:00,True,
310,2020-03-13 22:00:00,True,
311,2020-03-13 23:00:00,True,
312,2020-03-14 00:00:00,False,283.4503173828125
313,2020-03-14 01:00:00,True,
314,2020-03-14 02:00:00,False,283.031005859375
315,2020-03-14 03:00:00,True,
316,2020-03-14 04:00:00,True,
317,2020-03-14 05:00:00,True,
318,2020-03-14 06:00:00,True,
319,2020-03-14 07:00:00,True,
320,2020-03-14 08:00:00,False,280.4207066127232
321,2020-03-14 09:00:00,False,280.51304796006946
322,2020-03-14 10:00:00,False,281.03250558035717
323,2020-03-14 11:00:00,False,283.0783420138889
324,2020-03-14 12:00:00,True,
325,2020-03-14 13:00:00,True,
326,2020-03-14 14:00:00,True,
327,2020-03-14 15:00:00,True,
328,2020-03-14 16:00:00,True,
329,2020-03-14 17:00:00,True,
330,2020-03-14 18:00:00,True,
331,2020-03-14 19:00:00,True,
332,2020-03-14 20:00:00,False,296.0539794921875
333,2020-03-14 21:00:00,True,
334,2020-03-14 22:00:00,True,
335,2020-03-14 23:00:00,False,286.2705078125
336,2020-03-15 00:00:00,True,
337,2020-03-15 01:00:00,True,
338,2020-03-15 02:00:00,True,
339,2020-03-15 03:00:00,True,
340,2020-03-15 04:00:00,False,279.7619873046875
341,2020-03-15 05:00:00,False,284.28667534722223
342,2020-03-15 06:00:00,False,284.41943359375
343,2020-03-15 07:00:00,False,285.5663791232639
344,2020-03-15 08:00:00,False,285.2155490451389
345,2020-03-15 09:00:00,False,284.65277777777777
346,2020-03-15 10:00:00,False,284.42914496527777
347,2020-03-15 11:00:00,False,284.6655029296875
348,2020-03-15 12:00:00,False,284.5590515136719
349,2020-03-15 13:00:00,False,286.984375
350,2020-03-15 14:00:00,False,291.5887451171875
351,2020-03-15 15:00:00,False,298.0455078125
352,2020-03-15 16:00:00,False,298.660498046875
353,2020-03-15 17:00:00,True,
354,2020-03-15 18:00:00,True,
355,2020-03-15 19:00:00,True,
356,2020-03-15 20:00:00,True,
357,2020-03-15 21:00:00,True,
358,2020-03-15 22:00:00,False,289.4429931640625
359,2020-03-15 23:00:00,False,289.6147189670139
360,2020-03-16 00:00:00,False,288.0304931640625
361,2020-03-16 01:00:00,False,287.70343017578125
362,2020-03-16 02:00:00,False,286.1334228515625
363,2020-03-16 03:00:00,False,286.74178641183033
364,2020-03-16 04:00:00,False,285.43719482421875
365,2020-03-16 05:00:00,False,283.54554578993054
366,2020-03-16 06:00:00,False,285.70535714285717
367,2020-03-16 07:00:00,True,
368,2020-03-16 08:00:00,False,282.1445719401042
369,2020-03-16 09:00:00,True,
370,2020-03-16 10:00:00,True,
371,2020-03-16 11:00:00,True,
372,2020-03-16 12:00:00,False,285.9731140136719
373,2020-03-16 13:00:00,False,288.4343566894531
374,2020-03-16 14:00:00,False,292.85498046875
375,2020-03-16 15:00:00,True,
376,2020-03-16 16:00:00,True,
377,2020-03-16 17:00:00,True,
378,2020-03-16 18:00:00,True,
379,2020-03-16 19:00:00,True,
380,2020-03-16 20:00:00,True,
381,2020-03-16 21:00:00,True,
382,2020-03-16 22:00:00,True,
383,2020-03-16 23:00:00,False,288.3029378255208
384,2020-03-17 00:00:00,False,287.41639539930554
385,2020-03-17 01:00:00,False,287.17779541015625
386,2020-03-17 02:00:00,False,284.99278428819446
